title,company,location,apply_link
Data Analyst - Python & Power BI,BNP Paribas,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-python-power-bi-at-bnp-paribas-4333323668?position=15&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=pizSViSYmLJFkfTAHSdZvg%3D%3D
Operations Data Analyst,Thiess,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/operations-data-analyst-at-thiess-4402948632?position=16&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=nmBgcmCZMzw2b4XxrlPVVA%3D%3D
Urgent Hiring - Data Analytics & Data Modelling Professional,PwC,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/urgent-hiring-data-analytics-data-modelling-professional-at-pwc-4395959707?position=17&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=Ukmql2LO0vZJYY%2BeWvXS4g%3D%3D
Reference Data Analyst,Deutsche Bank,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/reference-data-analyst-at-deutsche-bank-4401338438?position=18&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=bq1F%2BERngGE0mrWeLdp8Jg%3D%3D
Data Analyst,FedEx,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371039081?position=19&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=a5wIYzmvwy6LZOYXgjQ%2F4w%3D%3D
Data Analyst,HexaHealth,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-hexahealth-4404563387?position=20&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=56iodD7%2BPssZBcj46pPO7w%3D%3D
Data Analyst,super.money,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-super-money-4391816210?position=21&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=htYaONdhSRJ%2Fzgx5DDqIjg%3D%3D
Data Analyst,Fusemachines,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-fusemachines-4335416842?position=22&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=ogJvM%2F2EHaCfftzYetnVUA%3D%3D
Data Analyst,FedEx,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371029910?position=23&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=DWdETxi3j5ioQ6qLA%2Fuojw%3D%3D
Data Analyst,SourceFuse,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-sourcefuse-4404272130?position=24&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=HnxroogHtR6TSilGVLZlxA%3D%3D
Operations Data Analyst,Thiess,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/operations-data-analyst-at-thiess-4402937793?position=25&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=zDjrz%2BcK5qEuQspqyvmpcw%3D%3D
Data Analyst,PINKVILLA,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-pinkvilla-4403933570?position=26&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=c6Vjv1XVlTc%2BQVwyJ3td1A%3D%3D
Data Analyst,Wiley,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/data-analyst-at-wiley-4381748256?position=27&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=3cDqi93XZYI5zMnmK3Rcrw%3D%3D
Data Analyst,Midtown Software,"Chandigarh, India",https://in.linkedin.com/jobs/view/data-analyst-at-midtown-software-4372509916?position=28&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=syQX7RjNmZQ6NZ6JFIcH2Q%3D%3D
Data Analyst,Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-infosys-4405077501?position=29&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=q2o4jpsHvaW%2FFKsW4r6N9g%3D%3D
Data Logger,SLB,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-logger-at-slb-4401622282?position=30&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=QlXTB%2FumsXi0NtlWKz7Ciw%3D%3D
Data Analyst,Citi,"Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-citi-4398192348?position=31&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=WKdzjweS7BaXEFVy4A7XVA%3D%3D
Data Analyst,Virtusa,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-4399532783?position=32&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=4WQ%2FHTQYoqbCS6MwMwvMZA%3D%3D
Consultant,Infosys,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/consultant-at-infosys-4392197582?position=33&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=Mk82gnHVGqv9CNoRo4Jw9g%3D%3D
DGM Data Analyst,airtel,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/dgm-data-analyst-at-airtel-4402438355?position=34&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=ZT8UJJzKC2iA8Pln0SMP4A%3D%3D
"Data Analysts, ETL, SQL, Informatica",Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analysts-etl-sql-informatica-at-infosys-4397274564?position=35&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=msE9cSMIzUayaSEyrhIJtg%3D%3D
"Data Analysts, ETL, SQL, Informatica",Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analysts-etl-sql-informatica-at-infosys-4397228196?position=36&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=3CLJSbotnV4DH0%2Ficg5wFw%3D%3D
Associate Data Insight Analyst [T500-24881],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-insight-analyst-t500-24881-at-albertsons-companies-india-4394649006?position=37&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=m7obFBMNjjFZ9fdr26Nbeg%3D%3D
Data Analyst,Randstad Enterprise,India,https://in.linkedin.com/jobs/view/data-analyst-at-randstad-enterprise-4380251175?position=38&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=Xst1dO9e6kAlDtxHyMZ4aQ%3D%3D
Data Analyst,UST,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-ust-4397671776?position=39&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=igoLpBN%2BAl4trjJ2XnInFQ%3D%3D
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-sql-hdfs-hive-at-riskinsight-consulting-pvt-ltd-4370337080?position=40&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=ksdteeut%2BLAlh1ElAdq9cw%3D%3D
